iter	Passed	Remaining
259	1478	4208
260	1483	4201
261	1487	4189
262	1492	4183
263	1498	4176
264	1503	4169
265	1508	4163
266	1514	4156
267	1519	4149
268	1524	4141
269	1529	4135
270	1534	4127
271	1540	4122
272	1545	4116
273	1550	4108
274	1555	4100
275	1560	4093
276	1565	4086
277	1570	4079
278	1576	4073
279	1581	4065
280	1586	4058
281	1592	4053
282	1597	4046
283	1601	4038
284	1606	4030
285	1611	4024
286	1616	4016
287	1621	4009
288	1626	4002
289	1632	3996
290	1637	3989
291	1643	3983
292	1648	3976
293	1653	3969
294	1658	3963
295	1664	3957
296	1669	3950
297	1674	3944
298	1679	3938
299	1684	3930
300	1689	3922
301	1694	3916
302	1699	3909
303	1704	3901
304	1709	3896
305	1715	3889
306	1720	3883
307	1725	3876
308	1730	3870
309	1735	3863
310	1740	3856
311	1745	3849
312	1750	3842
313	1756	3837
314	1761	3830
315	1766	3823
316	1771	3816
317	1776	3810
318	1781	3803
319	1786	3795
320	1791	3789
321	1796	3783
322	1801	3776
323	1807	3771
324	1812	3764
325	1817	3757
326	1822	3750
327	1827	3744
328	1832	3737
329	1837	3730
330	1842	3724
331	1848	3718
332	1853	3712
333	1858	3706
334	1864	3700
335	1868	3693
336	1874	3686
337	1879	3681
338	1884	3674
339	1890	3669
340	1895	3662
341	1899	3655
342	1905	3649
343	1910	3643
344	1916	3637
345	1921	3632
346	1926	3625
347	1931	3619
348	1936	3612
349	1941	3605
350	1946	3599
351	1951	3592
352	1956	3586
353	1961	3579
354	1966	3572
355	1971	3566
356	1976	3560
357	1981	3554
358	1987	3548
359	1992	3542
360	1997	3536
361	2002	3529
362	2007	3523
363	2012	3516
364	2017	3510
365	2023	3504
366	2028	3497
367	2032	3490
368	2038	3485
369	2043	3479
370	2048	3472
371	2053	3466
372	2058	3460
373	2063	3453
374	2068	3447
375	2073	3441
376	2078	3434
377	2083	3428
378	2089	3422
379	2093	3416
380	2099	3410
381	2104	3404
382	2109	3397
383	2114	3391
384	2119	3385
385	2124	3379
386	2129	3373
387	2134	3367
388	2140	3361
389	2145	3355
390	2150	3349
391	2155	3343
392	2160	3336
393	2165	3330
394	2170	3324
395	2175	3317
396	2180	3311
397	2185	3306
398	2190	3299
399	2195	3293
400	2200	3287
401	2206	3281
402	2211	3275
403	2216	3269
404	2221	3263
405	2226	3256
406	2231	3251
407	2236	3245
408	2241	3238
409	2246	3232
410	2251	3226
411	2256	3220
412	2261	3214
413	2267	3209
414	2272	3203
415	2277	3196
416	2282	3190
417	2287	3184
418	2291	3178
419	2296	3171
420	2301	3165
421	2306	3159
422	2311	3153
423	2317	3147
424	2321	3141
425	2327	3135
426	2332	3130
427	2337	3123
428	2342	3118
429	2348	3112
430	2353	3106
431	2358	3100
432	2364	3095
433	2369	3090
434	2374	3083
435	2379	3077
436	2384	3071
437	2388	3065
438	2393	3059
439	2398	3053
440	2404	3047
441	2409	3041
442	2414	3035
443	2419	3029
444	2425	3024
445	2430	3018
446	2435	3012
447	2440	3006
448	2445	3000
449	2450	2995
450	2455	2989
451	2461	2984
452	2466	2978
453	2470	2971
454	2476	2965
455	2481	2960
456	2486	2954
457	2492	2949
458	2497	2943
459	2502	2937
460	2507	2931
461	2512	2925
462	2517	2919
463	2522	2913
464	2527	2908
465	2532	2902
466	2537	2895
467	2541	2889
468	2547	2883
469	2551	2877
470	2557	2872
471	2562	2866
472	2568	2861
473	2573	2855
474	2578	2850
475	2584	2844
476	2591	2840
477	2596	2835
478	2601	2829
479	2606	2824
480	2612	2819
481	2618	2814
482	2624	2809
483	2633	2807
484	2640	2803
485	2647	2799
486	2654	2796
487	2663	2794
488	2669	2790
489	2675	2785
490	2682	2780
491	2687	2774
492	2693	2770
493	2700	2766
494	2706	2761
495	2711	2755
496	2716	2749
497	2722	2743
498	2727	2738
499	2732	2732
500	2737	2726
501	2743	2721
502	2748	2716
503	2754	2710
504	2759	2704
505	2764	2698
506	2769	2693
507	2774	2687
508	2779	2681
509	2784	2675
510	2790	2670
511	2795	2664
512	2801	2659
513	2806	2653
514	2811	2647
515	2816	2642
516	2822	2636
517	2827	2630
518	2832	2625
519	2837	2619
520	2843	2614
521	2848	2608
522	2853	2602
523	2859	2597
524	2864	2591
525	2869	2585
526	2875	2580
527	2880	2575
528	2885	2569
529	2890	2563
530	2896	2557
531	2901	2552
532	2906	2546
533	2911	2541
534	2917	2535
535	2922	2529
536	2927	2524
537	2932	2518
538	2938	2513
539	2943	2507
540	2948	2501
541	2953	2496
542	2959	2490
543	2964	2484
544	2968	2478
545	2974	2473
546	2979	2467
547	2984	2461
548	2990	2456
549	2996	2451
550	3001	2445
551	3006	2440
552	3011	2434
553	3016	2428
554	3022	2423
555	3028	2418
556	3033	2412
557	3039	2407
558	3044	2401
559	3049	2395
560	3054	2390
561	3060	2384
562	3065	2379
563	3070	2373
564	3076	2368
565	3080	2362
566	3086	2357
567	3091	2351
568	3096	2345
569	3101	2340
570	3107	2334
571	3113	2329
572	3118	2324
573	3123	2318
574	3128	2312
575	3133	2306
576	3138	2300
577	3143	2295
578	3148	2289
579	3153	2283
580	3159	2278
581	3164	2272
582	3169	2267
583	3174	2261
584	3179	2255
585	3184	2250
586	3190	2244
587	3195	2238
588	3200	2233
589	3205	2227
590	3210	2221
591	3215	2216
592	3221	2211
593	3226	2205
594	3232	2200
595	3237	2194
596	3243	2189
597	3249	2184
598	3254	2179
599	3260	2173
600	3266	2168
601	3272	2163
602	3279	2159
603	3284	2153
604	3289	2147
605	3295	2142
606	3300	2137
607	3306	2131
608	3312	2126
609	3318	2121
610	3323	2115
611	3329	2110
612	3334	2105
613	3339	2099
614	3344	2093
615	3350	2088
616	3355	2082
617	3360	2077
618	3365	2071
619	3370	2065
620	3375	2059
621	3379	2054
622	3385	2048
623	3390	2043
624	3396	2037
625	3401	2032
626	3406	2026
627	3411	2020
628	3416	2015
629	3421	2009
630	3426	2004
631	3431	1998
632	3436	1992
633	3441	1986
634	3447	1981
635	3452	1975
636	3458	1970
637	3463	1965
638	3468	1959
639	3473	1954
640	3479	1948
641	3484	1943
642	3489	1937
643	3495	1932
644	3501	1927
645	3506	1921
646	3511	1916
647	3516	1910
648	3521	1904
649	3527	1899
650	3533	1894
651	3538	1888
652	3542	1882
653	3547	1876
654	3552	1871
655	3558	1866
656	3563	1860
657	3568	1854
658	3574	1849
659	3579	1843
660	3584	1838
661	3589	1832
662	3594	1827
663	3599	1821
664	3605	1816
665	3610	1810
666	3615	1805
667	3621	1799
668	3626	1794
669	3632	1788
670	3637	1783
671	3642	1778
672	3648	1772
673	3654	1767
674	3659	1762
675	3665	1756
676	3670	1751
677	3675	1745
678	3680	1740
679	3686	1734
680	3691	1729
681	3696	1723
682	3702	1718
683	3707	1713
684	3713	1707
685	3718	1701
686	3723	1696
687	3728	1690
688	3732	1684
689	3738	1679
690	3743	1674
691	3748	1668
692	3753	1662
693	3759	1657
694	3765	1652
695	3770	1646
696	3775	1641
697	3780	1635
698	3785	1630
699	3791	1624
700	3797	1619
701	3802	1614
702	3808	1608
703	3813	1603
704	3818	1597
705	3823	1592
706	3828	1586
707	3833	1581
708	3838	1575
709	3843	1569
710	3849	1564
711	3854	1558
712	3859	1553
713	3864	1548
714	3870	1542
715	3875	1537
716	3880	1531
717	3885	1526
718	3891	1520
719	3896	1515
720	3902	1510
721	3908	1504
722	3913	1499
723	3919	1494
724	3924	1488
725	3930	1483
726	3935	1477
727	3940	1472
728	3945	1466
729	3950	1461
730	3956	1455
731	3961	1450
732	3967	1445
733	3973	1439
734	3978	1434
735	3984	1429
736	3990	1423
737	3995	1418
738	4002	1413
739	4008	1408
740	4014	1403
741	4020	1397
742	4025	1392
743	4031	1387
744	4037	1382
745	4043	1376
746	4048	1371
747	4054	1365
748	4060	1360
749	4066	1355
750	4072	1350
751	4078	1345
752	4084	1339
753	4090	1334
754	4096	1329
755	4102	1324
756	4108	1318
757	4113	1313
758	4119	1307
759	4124	1302
760	4130	1297
761	4136	1291
762	4141	1286
763	4148	1281
764	4154	1276
765	4159	1270
766	4164	1265
767	4170	1259
768	4176	1254
769	4181	1249
770	4187	1243
771	4192	1238
772	4198	1232
773	4204	1227
774	4209	1222
775	4215	1216
776	4221	1211
777	4227	1206
778	4233	1201
779	4240	1195
780	4245	1190
781	4251	1185
782	4257	1179
783	4263	1174
784	4268	1169
785	4274	1163
786	4279	1158
787	4286	1153
788	4291	1147
789	4297	1142
790	4303	1137
791	4309	1131
792	4315	1126
793	4321	1121
794	4326	1115
795	4332	1110
796	4339	1105
797	4345	1099
798	4352	1094
799	4358	1089
800	4364	1084
801	4369	1078
802	4374	1073
803	4380	1067
804	4386	1062
805	4392	1057
806	4398	1051
807	4403	1046
808	4409	1041
809	4415	1035
810	4421	1030
811	4426	1024
812	4433	1019
813	4439	1014
814	4444	1008
815	4451	1003
816	4457	998
817	4463	993
818	4468	987
819	4474	982
820	4480	976
821	4487	971
822	4494	966
823	4500	961
824	4506	955
825	4513	950
826	4519	945
827	4524	939
828	4530	934
829	4536	929
830	4541	923
831	4547	918
832	4553	912
833	4559	907
834	4565	902
835	4571	896
836	4577	891
837	4583	886
838	4588	880
839	4594	875
840	4599	869
841	4604	864
842	4610	858
843	4616	853
844	4622	847
845	4628	842
846	4634	837
847	4640	831
848	4646	826
849	4651	820
850	4657	815
851	4662	809
852	4667	804
853	4672	798
854	4678	793
855	4683	787
856	4688	782
857	4694	777
858	4700	771
859	4705	766
860	4711	760
861	4716	755
862	4721	749
863	4726	743
864	4732	738
865	4738	733
866	4743	727
867	4748	722
868	4754	716
869	4759	711
870	4765	705
871	4771	700
872	4776	694
873	4781	689
874	4786	683
875	4792	678
876	4797	672
877	4803	667
878	4808	661
879	4814	656
880	4819	650
881	4824	645
882	4830	640
883	4835	634
884	4841	629
885	4846	623
886	4852	618
887	4857	612
888	4863	607
889	4868	601
890	4873	596
891	4879	590
892	4884	585
893	4889	579
894	4895	574
895	4901	568
896	4907	563
897	4913	558
898	4919	552
899	4924	547
900	4930	541
901	4935	536
902	4941	530
903	4946	525
904	4951	519
905	4956	514
906	4962	508
907	4967	503
908	4974	497
909	4979	492
910	4985	487
911	4990	481
912	4995	476
913	5000	470
914	5005	465
915	5010	459
916	5016	454
917	5022	448
918	5029	443
919	5035	437
920	5041	432
921	5047	427
922	5053	421
923	5059	416
924	5065	410
925	5071	405
926	5076	399
927	5082	394
928	5088	388
929	5093	383
930	5100	377
931	5105	372
932	5111	367
933	5117	361
934	5122	356
935	5127	350
936	5133	345
937	5139	339
938	5145	334
939	5151	328
940	5157	323
941	5163	317
942	5169	312
943	5175	307
944	5182	301
945	5188	296
946	5194	290
947	5200	285
948	5206	279
949	5212	274
950	5218	268
951	5224	263
952	5229	257
953	5235	252
954	5241	246
955	5247	241
956	5252	236
957	5257	230
958	5263	225
959	5269	219
960	5275	214
961	5282	208
962	5287	203
963	5293	197
964	5300	192
965	5305	186
966	5312	181
967	5318	175
968	5324	170
969	5330	164
970	5336	159
971	5343	153
972	5349	148
973	5355	142
974	5361	137
975	5366	131
976	5373	126
977	5379	121
978	5385	115
979	5392	110
980	5398	104
981	5405	99
982	5412	93
983	5418	88
984	5424	82
985	5430	77
986	5436	71
987	5442	66
988	5448	60
989	5454	55
990	5460	49
991	5465	44
992	5471	38
993	5476	33
994	5482	27
995	5487	22
996	5494	16
997	5500	11
998	5506	5
999	5511	0
